,,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,,
crabID ,startLoc,By,6/28,By,6/29,By,6/30,By,7/1,By,7/2,By,7/3,By,7/4,By,7/5,By,7/6,By,7/7,By,7/8,By,7/9,By,7/10,By,7/11,By,7/12,By,7/13,By,7/14,,Notes,
CH06_W6_73_wld_01,W1,kmr,meg,,,DP,M,kmr,meg,MH,,n/a,,n/a,,,n/a,kmr,D,kmr,N/A,kmr,N/A,,,,,,,kmr ,N/A,kmr,N/A,kmr,N/A,,water change (AQ-/sW 6/22 On 2021.06.28),
CH06_W6_73_wld_02,W2,,meg,,,,J,,meg,,,,,,,,,??,N/A,,N/A,,N/A,,,,,,,,N/A,,N/A,,N/A,,,
CH06_W6_73_wld_03,W3,,meg,,,,M,,meg,,,,,,,,,,"Molt, R (molt dissolve)", ,N/A, ,N/A,,,,,,,,N/A,,N/A,,N/A,,Another water change and artemia feed on 6/30,
CH06_W6_73_wld_04,W4,,meg,,,,M,,"Molt, Remove",,,,,,,,,,N/A,,N/A,,N/A,,,,,,,,N/A,,N/A,,N/A,, (2021.07.06) CH06_W6_73 all dead or removed,
CH06_W6_73_wld_05,W5,,meg,,,,M,,meg,,,,,,,,,,"Molt, R (molt dissolve)", ,N/A, ,N/A,,,,,,,,N/A,,N/A,,N/A,,2021.07.12 water change,
N/A,W6,,N/A,,,,N/A,,N/A,,,,,,,,,,N/A,,N/A,,N/A,,,,,,,,N/A,,N/A,,N/A,,2021.07.13 water change &  feed,
CH06_W6_91_wld_01,W1,,meg,,,,M,,meg,,,,,,,,,kmr,meg,kmr,meg,kmr,meg,,,,,,,kmr ,"Molt, R-(molt dissolved)",kmr,N/A,kmr,N/A,,2021.07.14 Project Termination -all remaining crabs preserved,
CH06_W6_91_wld_02,W2,,meg,,,,M,,meg,,,,,,,,,,meg,,meg,,meg,,,,,,,,meg,,meg,,"R, removed &preserved",,,
CH06_W6_91_wld_03,W3,,meg,,,,J,,meg,,,,,,,,,??,N/A,,N/A,,N/A,,,,,,,,N/A,,N/A,,N/A,,,
CH06_W6_91_wld_04,W4,,meg,,,,M,,meg,,,,,,,,,,meg,,meg,,meg,,,,,,,,meg,,meg,,N/A,,,
CH06_W6_91_wld_05,W5,,meg,,,,M,,meg,,,,,,,,,,"Molt, R (molt dissolve)", ,N/A, ,N/A,,,,,,,,N/A,,N/A,,N/A,,,
CH06_W6_91_wld_06,W6,,meg,,,,M,,"Molt, Remove",,,,,,,,,,N/A,,N/A,,N/A,,,,,,,,N/A,,N/A,,N/A,,,
N/A,W1,,N/A,,,,NA,,N/A,,,,,,,,,kmr,N/A,kmr,N/A,kmr,N/A,,,,,,,kmr ,N/A,kmr,N/A,kmr,N/A,,,
CH06_W6_130_wld_02,W2,,meg,,,,M,,meg,,,,,,,,,,meg,,meg,,meg,,,,,,,,D,,N/A,,N/A,,,
CH06_W6_130_wld_03,W3,,meg,,,,M,,meg,,,,,,,,,,"Molt, Remove",,N/A,,N/A,,,,,,,,N/A,,N/A,,N/A,,,
CH06_W6_130_wld_04,W4,,meg,,,,M,,meg,,,,,,,,,,"Molt, R-(molt dissolved)", ,N/A, ,N/A,,,,,,,,N/A,,N/A,,N/A,,,
N/A,W5,,N/A,,,,NA,,N/A,,,,,,,,,,N/A,,N/A,,N/A,,,,,,,,N/A,,N/A,,N/A,,,
CH06_W6_130_wld_06,W6,,meg,,,,M,,meg,,,,,,,,,,meg,,"Molt, Removed",,N/A,,,,,,,,N/A,,N/A,,N/A,,,
CH06_W6_64_wld_01,W1,,meg,,,,M,,meg,,,,,,,,,kmr,"Molt, Remove",kmr,N/A,,N/A,,,,,,,kmr ,N/A,kmr,N/A,,N/A,,,
CH06_W6_64_wld_02,W2,,meg,,,,M,,meg,,,,,,,,,,meg,,meg,,meg,,,,,,,,meg,,meg,,"R, removed &preserved",,,
CH06_W6_64_wld_03,W3,,"M, R",,,,NA,,N/A,,,,,,,,,,N/A,,N/A,,N/A,,,,,,,,N/A,,N/A,,N/A,,"molt not preserved, fell apart",
CH06_W6_64_wld_04,W4,,meg,,,,M,,meg,,,,,,,,,,meg,,meg,,meg,,,,,,,,meg,,meg,,"R, removed &preserved",,,
N/A,W5,,N/A,,,,NA,,N/A,,,,,,,,,,N/A,,N/A,,N/A,,,,,,,,N/A,,N/A,,N/A,,,
CH06_W6_64_wld_06,W6,,R,,,,NA,,N/A,,,,,,,,,,N/A,,N/A,,N/A,,,,,,,,N/A,,N/A,,N/A,,,
N/A,W1,,N/A,,,,NA,kmr,N/A,,,,,,,,,kmr,N/A,kmr,N/A,,N/A,,,,,,,kmr ,N/A,kmr,N/A,,N/A,,,
CH07_W6_93_wld_02,W2,,meg,,,,J,,N/A,,,,,,,,,,N/A,,N/A,,N/A,,,,,,,,N/A,,N/A,,N/A,,,
CH07_W6_93_wld_03,W3,,meg,,,,M,,meg,,,,,,,,,,meg,,meg,,meg,,,,,,,,D,,N/A,,N/A,,,
CH07_W6_93_wld_04,W4,,meg,,,,M,,meg,,,,,,,,,,meg,,meg,,meg,,,,,,,,meg,,meg,,"R, removed &preserved",,,
N/A,W5,,N/A,,,,NA,,N/A,,,,,,,,,,N/A,,N/A,,N/A,,,,,,,,N/A,,N/A,,N/A,,,
CH07_W6_93_wld_06,W6,,meg,,,,M,,meg,,,,,,,,,,"Molt, R-(molt dissolved)",,N/A,,N/A,,,,,,,,N/A,,N/A,,N/A,,,
N/A,W1,,meg,,,,NA,,N/A,,,,,,,,,kmr,N/A,kmr,N/A,,N/A,,,,,,,kmr ,N/A,kmr ,N/A,,N/A,,,
CH07_W6_109_wld_02,W2,,meg,,,,M,,meg,,,,,,,,,,"Molt, R-(molt dissolved)", ,N/A,,N/A,,,,,,,,N/A,,N/A,,N/A,,,
CH07_W6_109_wld_03,W3,,meg,,,,M,,meg,,,,,,,,,,"Molt, R-(molt dissolved)", ,N/A,,N/A,,,,,,,,N/A,,N/A,,N/A,,,
N/A,W4,,meg,,,,NA,,N/A,,,,,,,,,,N/A,,N/A,,N/A,,,,,,,,N/A,,N/A,,N/A,,,
CH07_W6_109_wld_05,W5,,meg,,,,J,,N/A,,,,,,,,,??,N/A,,N/A,,N/A,,,,,,,,N/A,,N/A,,N/A,,,
CH07_W6_109_wld_06,W6,,"M, R",,,,NA,,N/A,,,,,,,,,,N/A,,N/A,,N/A,,,,,,,,N/A,,N/A,,N/A,,,
CH07_W6_92_wld_01,W1,,R,,,,NA,,N/A,,,,,,,,,kmr,N/A,kmr,N/A,,N/A,,,,,,,kmr ,N/A,kmr ,N/A,,N/A,,"molt completely fell apart, not preserved",
N/A,W2,,meg,,,,NA,,N/A,,,,,,,,,,N/A,,N/A,,N/A,,,,,,,,N/A,,N/A,,N/A,,,
CH07_W6_92_wld_03,W3,,"M, R",,,,NA,,N/A,,,,,,,,,,N/A,,N/A,,N/A,,,,,,,,N/A,,N/A,,N/A,,"molt completely fell apart, not preserved",
CH07_W6_92_wld_04,W4,,meg,,,,M,,meg,,,,,,,,,,meg,,"Molt, Removed",,N/A,,,,,,,,N/A,,N/A,,N/A,,,
N/A,W5,,meg,,,,NA,,N/A,,,,,,,,,,N/A,,N/A,,N/A,,,,,,,,N/A,,N/A,,N/A,,,
CH07_W6_92_wld_06,W6,,,,,,D,,N/A,,,,,,,,,,N/A,,N/A,,N/A,,,,,,,,N/A,,N/A,,N/A,,,
CH07_W6_121_wld_01,W1,,"M, R",,,,NA,,N/A,,,,,,,,,kmr,N/A,kmr,N/A,,N/A,,,,,,,kmr ,N/A,kmr ,N/A,,N/A,,,
CH07_W6_121_wld_02,W2,,meg,,,,M,,meg,,,,,,,,,??,N/A,,N/A,,N/A,,,,,,,,N/A,,N/A,,N/A,,,
CH07_W6_121_wld_03,W3,,"M, R",,,,NA,,N/A,,,,,,,,,,N/A,,N/A,,N/A,,,,,,,,N/A,,N/A,,N/A,,,
CH07_W6_121_wld_04,W4,,"M, R",,,,NA,,N/A,,,,,,,,,,N/A,,N/A,,N/A,,,,,,,,N/A,,N/A,,N/A,,,
N/A,W5,,N/A,,,,NA,,N/A,,,,,,,,,,N/A,,N/A,,N/A,,,,,,,,N/A,,N/A,,N/A,,,
N/A,W6,,N/A,,,,NA,,N/A,,,,,,,,,,N/A,,N/A,,N/A,,,,,,,,N/A,,N/A,,N/A,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
